,Question,Answer
5,If you were prime miniser/ruler of the world what laws would you make?,That's what I was thinking.
6,If you were a super hero what powers would you have?,"I'm not a super hero, but I'm not a super hero."
7,and what would your hero name be?,I think he's referring to his name.
8,and what outfit would you wear?,"I don't know why you're being down voted, I'm just curious."
9,What was your last dream about?,"I'm not sure, but I'm not sure if that's what you're referring to."
10,What would you do if you won the lottery?,I don't know what you're talking about.
11,Would you like to build/design your own house?,That's what I was thinking.
12,What talents do you have?,"I don't know what I'm talking about, but I don't know what I'm talking about."
13,Can you juggle?,Can confirm.
14,Can you solve a rubix cube?,That's what I was thinking.
15,Do you have a cherished childhood teddybear?,Yes.
16,Are you psychic in any way?,I'm not psychic.
17,Are you a good dancer?,I'm not a good dancer.
18,Are you a good singer?,I'm not a good singer.
19,Are you a good cook?,I'm not a good cook.
20,Are you a good artist?,I'm a good artist.
21,Are you a good listener?,I'm a good listener.
22,Are you a good public speaker?,"No, I'm not a good public speaker."
23,Are you a good babysitter?,"No, I'm not a good parent."
24,Are you a good mechanic?,I'm not a good mechanic.
25,Are you a good employee?,"No, I'm not a good customer."
26,Are you a good dresser?,I'm a good dresser.
27,Are you a good swimmer?,Yes.
28,Are you a good lover?,I'm not a good person.
29,Are you a good musician?,I'm a good musician.
30,Are you a good comedian?,I'm not a good comedian.
31,Are you a good cleaner?,Yes.
32,Are you a good actor?,He's a good actor.
33,Are you a good writer?,I'm a good writer.
34,Have you ever been bungee jumping?,That's what I was thinking.
35,Have you ever been canoeing/kayaking?,I have not.
36,What was your favourite holiday?,It's been a while since I've seen it.
37,Where would your dream holiday be?,"I'm not sure, but I'm pretty sure that's what it's called."
38,Can you tap dance?,That's what I was thinking.
39,Whats your favourite zoo animal?,My favourite animal animal.
40,Whats your favourite pizza topping?,I'm pretty sure that's what it's called.
41,Whats your favourite alcoholic drink?,I'm drinking a drink.
42,Whats your favourite non-alcoholic drink?,I've been drinking beer for a long time and it's been a while since I've been
43,What would be your ideal partner?,"I don't know, but I'm not sure if that's true or not."
44,Do you want children?,"No, I don't want kids."
45,Do you want a church wedding?,Yes.
46,Are you religious?,Are you religious?
47,Do you like reality TV programs?,I don't like reality.
48,Do you like TV talent shows?,I don't know why you're being down voted.
49,If you were gay who would your life partner be?,"I'm not gay, I'm gay."
50,If you could go back in time to change one thing what would it be?,I don't think that's what it would be.
51,How many hats do you own?,All of them.
52,Are you any good at pool?,I'm pretty sure that's what he meant.
53,Whats the highest you've ever jumped into the water from?,I don't know why you're being down voted.
54,Have you ever been admitted to hospital?,I have not.
55,Have you ever had any brushes with the law?,I have not.
56,Have you ever been on TV?,I have not.
57,Have you ever met any celebrities?,I have not.
58,Have you ever been to Legoland?,I have not.
59,Have you ever done something heroic?,I've never done that.
60,Have you ever played a practical joke on anyone?,I've never played a practical joke.
61,Have you ever been the recipiant of a practical joke?,I have not.
62,What would be your best achievement to date?,I'm pretty sure that's what he meant.
63,Do you prefer baths or showers?,I prefer showers.
64,"Do you prefer towel drying, blow drying or natural dryin your hair?","I don't know why you're being down voted, but I don't know what you're talking about."
65,Have you ever built a snowman?,Yes.
66,Have you ever been sledging?,I have not.
67,Have you ever flown a kite?,I've never flown a kite.
68,What colour socks are you wearing?,"I don't know what color it is, but I don't know what color it is."
69,Have you ever been famous?,I have not.
70,Would you like to be a big celebrity?,I'd like to be a big celebrity.
71,Would you ever go on Big Brother?,I've never heard of Big Brother.
72,How big is your TV?,"It's not a big deal, but it's not a big deal."
73,What type of music do you like?,I don't like listening to music.
74,Have you ever been skinnydipping?,I have not.
75,How many Pillows do you sleep with?,"10,000,000,000,000,000,000,000,0"
76,What position do you often sleep in?,I don't sleep in my sleep.
77,What do you wear to bed?,I don't know why you're being down voted.
78,How big is your house?,"It's not a big house, it's a big house."
79,What do you typically have for breakfast?,"I don't know what you're talking about, but I don't know what you're talking about."
80,Do you like scary movies?,Yes.
81,Have you ever been in a newspaper?,I have not.
82,How long can you balance on one foot?,I think it's about 2 - 3 hours a week.
83,Have you ever fired a gun?,No I have not.
84,Have you ever tried archery?,I haven't.
85,Do you have any scars?,I don't have any scars.
86,Did you ever win any sportsday events?,I did.
87,What did you want to be when you grew up?,I don't know why you're being down voted.
88,If you could change anything about yourself what would it be?,That's what I was thinking.
89,Whats the longest you've ever grown your hair?,I don't know why you're being down voted. It's a long time ago.
90,Are you scared of flying?,I'm not scared of flying.
91,Have you ever tie-dyed your own clothes?,That's what I was thinking.
92,How often do you buy new clothes?,I don't buy new clothes.
93,Are you reliable?,I'm pretty sure that's what he meant.
94,Are you proud of yourself?,I'm proud of myself.
95,Have you ever had a secret admirer,I have not.
96,Do you hold grudges?,No I don't.
97,If you could breed two animals together to defy the laws of nature what new animal would you create?,"That's what I was thinking, but I'm not sure if that's what you're referring to."
98,Do you decorate the outside of your house for christmas?,"No, I don't know what you're talking about."
