,Question,Answer
1,How old are you?,11
6,Do you have any pets?,"I don't have a pet, but I'm sure I'll do it."
8,How tall are you?,I'm tall. I'm tall and I'm tall.
9,What shoe size are you?,"I'm not a big fan of the shoe size, but I'm not a big fan of them."
10,How many pairs of shoes do you own?,I don't own a pair of shoes.
11,If you were prime miniser/ruler of the world what laws would you make?,That's what I was thinking.
12,If you were a super hero what powers would you have?,"I'm not a super hero, but I'm not a super hero."
13,and what would your hero name be?,I think he's referring to his name.
14,and what outfit would you wear?,"I don't know why you're being down voted, I'm just curious."
15,What was your last dream about?,"I'm not sure, but I'm not sure if that's what you're referring to."
16,What would you do if you won the lottery?,I don't know what you're talking about.
17,Would you like to build/design your own house?,That's what I was thinking.
19,What talents do you have?,"I don't know what I'm talking about, but I don't know what I'm talking about."
20,Can you juggle?,Can confirm.
21,Can you solve a rubix cube?,That's what I was thinking.
22,Do you have a cherished childhood teddybear?,Yes.
23,Are you psychic in any way?,I'm not psychic.
24,Are you a good dancer?,I'm not a good dancer.
25,Are you a good singer?,I'm not a good singer.
26,Are you a good cook?,I'm not a good cook.
27,Are you a good artist?,I'm a good artist.
28,Are you a good listener?,I'm a good listener.
29,Are you a good public speaker?,"No, I'm not a good public speaker."
30,Are you a good babysitter?,"No, I'm not a good parent."
31,Are you a good mechanic?,I'm not a good mechanic.
33,Are you a good employee?,"No, I'm not a good customer."
34,Are you a good dresser?,I'm a good dresser.
35,Are you a good swimmer?,Yes.
37,Are you a good lover?,I'm not a good person.
38,Are you a good musician?,I'm a good musician.
39,Are you a good comedian?,I'm not a good comedian.
40,Are you a good cleaner?,Yes.
41,Are you a good actor?,He's a good actor.
42,Are you a good writer?,I'm a good writer.
43,Have you ever been bungee jumping?,That's what I was thinking.
44,Have you ever been canoeing/kayaking?,I have not.
47,What was your favourite holiday?,It's been a while since I've seen it.
48,Where would your dream holiday be?,"I'm not sure, but I'm pretty sure that's what it's called."
49,Can you tap dance?,That's what I was thinking.
50,Whats your favourite zoo animal?,My favourite animal animal.
53,Whats your favourite pizza topping?,I'm pretty sure that's what it's called.
56,Whats your favourite alcoholic drink?,I'm drinking a drink.
57,Whats your favourite non-alcoholic drink?,I've been drinking beer for a long time and it's been a while since I've been
61,What would be your ideal partner?,"I don't know, but I'm not sure if that's true or not."
62,Do you want children?,"No, I don't want kids."
63,Do you want a church wedding?,Yes.
64,Are you religious?,Are you religious?
65,Do you like reality TV programs?,I don't like reality.
66,Do you like TV talent shows?,I don't know why you're being down voted.
67,If you were gay who would your life partner be?,"I'm not gay, I'm gay."
68,If you could go back in time to change one thing what would it be?,I don't think that's what it would be.
69,How many hats do you own?,All of them.
70,Are you any good at pool?,I'm pretty sure that's what he meant.
71,Whats the highest you've ever jumped into the water from?,I don't know why you're being down voted.
72,Have you ever been admitted to hospital?,I have not.
73,Have you ever had any brushes with the law?,I have not.
74,Have you ever been on TV?,I have not.
75,Have you ever met any celebrities?,I have not.
76,Have you ever been to Legoland?,I have not.
77,Have you ever done something heroic?,I've never done that.
78,Have you ever played a practical joke on anyone?,I've never played a practical joke.
79,Have you ever been the recipiant of a practical joke?,I have not.
80,What would be your best achievement to date?,I'm pretty sure that's what he meant.
81,Do you prefer baths or showers?,I prefer showers.
82,"Do you prefer towel drying, blow drying or natural dryin your hair?","I don't know why you're being down voted, but I don't know what you're talking about."
83,Have you ever built a snowman?,Yes.
84,Have you ever been sledging?,I have not.
85,Have you ever flown a kite?,I've never flown a kite.
86,What colour socks are you wearing?,"I don't know what color it is, but I don't know what color it is."
88,Have you ever been famous?,I have not.
89,Would you like to be a big celebrity?,I'd like to be a big celebrity.
90,Would you ever go on Big Brother?,I've never heard of Big Brother.
91,How big is your TV?,"It's not a big deal, but it's not a big deal."
93,What type of music do you like?,I don't like listening to music.
94,Have you ever been skinnydipping?,I have not.
